user_id,最高月収,最低月収,最高支出,最低支出,平均月収,月収に対する自由資産率,貯金絶対額,利用意向,Unnamed_9,収入変動額,収入変動率,支出変動率
1,43,31,30.0,20.0,37.0,0.03,100.0,0,,12,0.32432432432432434,0.4
2,46,28,380.0,20.0,37.0,0.1,100.0,1,,18,0.4864864864864865,1.8
3,90,8,50.0,18.0,50.0,0.1,500.0,0,,82,1.64,0.9411764705882353
4,200,20,150.0,10.0,60.0,0.1,1000.0,1,,180,3.0,1.75
5,200,15,100.0,10.0,40.0,0.3,200.0,1,,185,4.625,1.6363636363636365
6,60,40,75.0,10.0,50.0,0.4,700.0,1,,20,0.4,1.5294117647058822
7,10,3,8.0,6.0,6.0,0.2,100.0,0,,7,1.1666666666666667,0.2857142857142857
8,42,12,25.0,13.0,23.0,0.3,15.0,1,,30,1.3043478260869565,0.631578947368421
9,35,26,150.0,18.0,30.0,0.2,100.0,0,,9,0.3,1.5714285714285714
10,35,28,30.0,20.0,30.0,0.2,30.0,0,,7,0.23333333333333334,0.4
11,90,37,45.0,19.0,40.0,0.1,500.0,1,,53,1.325,0.8125
12,26,19,37.0,24.0,20.0,0.1,100.0,0,,7,0.35,0.4262295081967213
13,120,20,40.0,5.0,40.0,0.4,2000.0,0,,100,2.5,1.5555555555555556
14,52,20,30.0,10.0,30.0,0.3,50.0,0,,32,1.0666666666666667,1.0
15,30,5,20.0,3.0,10.0,0.3,1.0,1,,25,2.5,1.4782608695652173
16,32,26,25.0,18.0,30.0,0.2,1000.0,0,,6,0.2,0.32558139534883723
17,110,0,30.0,20.0,10.0,0.2,600.0,0,,110,11.0,0.4
18,20,15,15.0,10.0,18.0,0.1,300.0,0,,5,0.2777777777777778,0.4
19,22,20,20.0,16.0,21.0,0.05,500.0,0,,2,0.09523809523809523,0.2222222222222222
20,65,32,30.0,13.0,40.0,0.2,200.0,0,,33,0.825,0.7906976744186046
21,50,30,100.0,30.0,40.0,0.25,50.0,0,,20,0.5,1.0769230769230769
22,40,30,32.0,20.0,30.0,0.1,200.0,1,,10,0.3333333333333333,0.46153846153846156
23,2,1,3.0,1.0,0.0,0.0,0.0,0,,1,inf,1.0
24,22,18,14.0,11.0,20.0,0.3,100.0,0,,4,0.2,0.24
25,35,28,30.0,20.0,30.0,0.2,1500.0,0,,7,0.23333333333333334,0.4
26,60,30,25.0,18.0,40.0,0.6,50.0,1,,30,0.75,0.32558139534883723
27,30,23,100.0,5.0,25.0,0.4,300.0,0,,7,0.28,1.8095238095238095
28,5,3,8.0,0.0,3.0,0.6,0.0,0,,2,0.6666666666666666,2.0
29,120,45,40.0,25.0,50.0,0.1,1500.0,0,,75,1.5,0.46153846153846156
30,46,40,42.0,37.0,40.0,0.5,60.0,0,,6,0.15,0.12658227848101267
31,40,35,30.0,10.0,38.0,0.2,100.0,0,,5,0.13157894736842105,1.0
32,155,25,130.0,25.0,0.8,0.8,100.0,0,,130,162.5,1.3548387096774193
33,32,26,25.0,18.0,30.0,0.2,1000.0,0,,6,0.2,0.32558139534883723
34,45,38,60.0,30.0,40.0,0.2,150.0,1,,7,0.175,0.6666666666666666
35,40,34,30.0,18.0,30.0,0.1,30.0,0,,6,0.2,0.5
36,60,25,50.0,20.0,40.0,0.5,500.0,1,,35,0.875,0.8571428571428571
37,36,26,135.0,35.0,28.0,0.1,100.0,1,,10,0.35714285714285715,1.1764705882352942
38,32,25,42.0,18.0,24.0,0.2,500.0,0,,7,0.2916666666666667,0.8
39,40,18,40.0,18.0,30.0,0.1,10.0,0,,22,0.7333333333333333,0.7586206896551724
40,35,25,35.0,25.0,24.0,0.1,0.0,0,,10,0.4166666666666667,0.3333333333333333
41,32,29,25.0,20.0,30.0,0.1,100.0,1,,3,0.1,0.2222222222222222
42,40,35,20.0,17.0,30.0,0.4,200.0,0,,5,0.16666666666666666,0.16216216216216217
43,21,17,40.0,30.0,20.0,0.2,1000.0,0,,4,0.2,0.2857142857142857
44,50,40,50.0,40.0,50.0,0.1,200.0,0,,10,0.2,0.2222222222222222
45,15,0,20.0,4.0,10.0,0.1,10.0,0,,15,1.5,1.3333333333333333
46,40,30,30.0,20.0,35.0,0.6,100.0,0,,10,0.2857142857142857,0.4
47,28,24,40.0,15.0,25.0,0.1,250.0,0,,4,0.16,0.9090909090909091
48,32,16,30.0,20.0,20.0,0.15,200.0,0,,16,0.8,0.4
49,60,25,40.0,10.0,35.0,0.4,200.0,1,,35,0.1,1.2
50,35,33,60.0,20.0,34.0,0.2,200.0,0,,2,0.058823529411764705,1.0
51,8,8,6.0,4.0,8.0,0.5,100.0,0,,0,0.0,0.4
52,45,20,50.0,20.0,20.0,0.7,50.0,1,,25,1.25,0.8571428571428571
53,15,3,12.0,2.0,7.0,0.35,3.0,1,,12,1.7142857142857142,1.4285714285714286
54,35,32,30.0,25.0,32.0,0.1,100.0,1,,3,0.09375,0.18181818181818182
55,11,9,13.0,6.0,10.0,0.2,50.0,0,,2,0.2,0.7368421052631579
56,28,0,20.0,10.0,0.0,0.1,100.0,0,,28,inf,0.6666666666666666
57,35,0,55.0,12.0,0.0,0.1,100.0,0,,35,inf,1.2835820895522387
58,30,30,20.0,13.0,30.0,0.6,200.0,1,,0,0.0,0.42424242424242425
59,30,25,25.0,15.0,25.0,0.1,2.0,0,,5,0.2,0.5
60,28,33,33.0,27.0,30.0,0.1,0.0,0,,-5,-0.16666666666666666,0.2
61,50,30,30.0,18.0,30.0,0.3,100.0,0,,20,0.6666666666666666,0.5
62,28,23,17.0,11.0,25.0,0.5,100.0,0,,5,0.2,0.42857142857142855
63,38,23,60.0,13.0,27.0,0.1,30.0,0,,15,0.5555555555555556,1.2876712328767124
64,39,35,500.0,20.0,36.0,0.3,1000.0,0,,4,0.1111111111111111,1.8461538461538463
65,40,30,60.0,20.0,40.0,0.6,100.0,1,,10,0.25,1.0
66,48,0,30.0,15.0,0.0,0.0,800.0,1,,48,inf,0.6666666666666666
67,10,10,10.0,10.0,10.0,0.15,0.5,0,,0,0.0,0.0
68,22,17,6.0,2.0,20.0,0.4,50.0,1,,5,0.25,1.0
69,31,35,28.0,30.0,31.0,0.1,0.0,0,,-4,-0.12903225806451613,-0.06896551724137931
70,23,16,38.0,6.0,19.0,0.6,80.0,0,,7,0.3684210526315789,1.4545454545454546
71,50,40,50.0,40.0,45.0,0.1,5.0,0,,10,0.2222222222222222,0.2222222222222222
72,40,25,40.0,20.0,35.0,0.2,500.0,0,,15,0.42857142857142855,0.6666666666666666
73,25,20,20.0,15.0,22.0,0.1,50.0,1,,5,0.22727272727272727,0.2857142857142857
74,12,16,18.0,25.0,15.0,0.3,100.0,1,,-4,-0.26666666666666666,-0.32558139534883723
75,60,0,22.0,14.0,10.0,0.0,1000.0,0,,60,6.0,0.4444444444444444
76,19,15,16.0,12.0,17.0,0.2,150.0,1,,4,0.23529411764705882,0.2857142857142857
77,13,0,14.0,6.0,13.0,0.3,20.0,0,,13,1.0,0.8
78,58,55,30.0,28.0,56.0,0.4,500.0,0,,3,0.05357142857142857,0.06896551724137931
79,55,36,30.0,18.0,42.0,0.1,5.0,1,,19,0.4523809523809524,0.5
80,27,25,35.0,20.0,25.0,0.1,0.0,0,,2,0.08,0.5454545454545454
81,38,30,40.0,30.0,35.0,0.0,300.0,0,,8,0.22857142857142856,0.2857142857142857
82,73,55,112.0,26.0,65.0,0.1,500.0,0,,18,0.27692307692307694,1.2463768115942029
83,18,15,13.0,10.0,16.0,0.2,100.0,0,,3,0.1875,0.2608695652173913
84,5,2,50.0,30.0,3.0,0.5,0.0,1,,3,1.0,0.5
85,18,16,20.0,13.0,17.0,0.3,100.0,0,,2,0.11764705882352941,0.42424242424242425
