user_id,最高月収:int,最低月収:int,最高支出:int,最低支出:int,平均月収:int,月収に対する自由資産率:float,貯金絶対額:int,利用意向:bool,
1,43,31,30,20,37,0.03,,0,
2,46,28,380,20,37,0.1,,1,
3,90,8,50,18,50,0.1,500,0,
4,200,20,150,10,60,0.1,1000,1,
5,200,15,100,10,40,0.3,200,1,
6,60,40,75,10,50,0.4,700,1,
7,10,3,8,6,6,,100,0,
8,42,12,25,13,23,0.3,15,1,
9,35,26,150,18,30,0.2,100,0,
10,35,28,30,20,30,0.2,30,0,
11,90,37,45,19,40,0.1,500,1,
12,26,19,37,24,20,0.1,100,0,
13,120,20,40,5,40,0.4,2000,0,
14,52,20,30,10,30,0.3,50,0,
15,30,5,20,3,10,0.3,1,1,
16,32,26,25,18,30,0.2,1000,0,
17,110,0,30,20,10,,600,0,
18,20,15,15,10,18,0.1,300,0,
19,22,20,20,16,21,0.05,500,0,
20,65,32,30,13,40,0.2,200,0,
21,50,30,100,30,40,0.25,50,0,
22,40,30,32,20,30,0.1,200,1,
23,2,1,3,1,0,0,0,0,
24,22,18,14,11,20,0.3,100,0,
25,35,28,30,20,30,0.2,1500,0,
26,60,30,25,18,40,0.6,50,1,
27,30,23,100,5,25,0.4,300,0,
28,5,3,8,0,3,0.6,0,0,
29,120,45,40,25,50,0.1,1500,0,
30,46,40,42,37,40,0.5,60,0,
31,40,35,30,10,38,0.2,100,0,
32,155,25,130,25,0.8,0.8,,0,
33,32,26,25,18,30,0.2,1000,0,
34,45,38,60,30,40,0.2,150,1,
35,40,34,,,30,0.1,30,0,
36,60,25,50,20,40,0.5,500,1,
37,36,26,135,35,28,0.1,,1,
38,32,25,42,18,24,0.2,500,0,
39,40,18,40,18,30,0.1,10,0,
40,35,25,35,25,24,0.1,0,0,
41,32,29,25,20,30,0.1,,1,
42,40,35,20,17,30,0.4,200,0,
43,21,17,40,30,20,0.2,1000,0,
44,50,40,50,40,50,0.1,200,0,
45,15,0,20,4,10,0.1,10,0,
46,40,30,30,20,35,0.6,100,0,
47,28,24,40,15,25,0.1,250,0,
48,32,16,30,20,20,0.15,200,0,
49,60,25,40,10,350,0.4,200,1,
50,35,33,60,20,34,0.2,200,0,
51,8,8,6,4,8,0.5,,0,
52,45,20,50,20,20,0.7,50,1,
53,15,3,12,2,7,0.35,3,1,
54,35,32,30,25,32,0.1,100,1,
55,11,9,13,6,10,0.2,50,0,
56,28,0,20,10,0,0.1,100,0,
57,35,0,55,12,0,0.1,,0,
58,30,30,20,13,30,0.6,200,1,
59,30,25,25,15,25,0.1,2,0,
60,28,33,33,27,30,0.1,0,0,
61,50,30,,,30,0.3,100,0,
62,28,23,17,11,25,0.5,100,0,
63,38,23,60,13,27,0.1,30,0,
64,39,35,500,20,36,0.3,1000,0,
65,40,30,60,20,40,0.6,100,1,
66,48,0,30,15,0,0,800,1,
67,10,10,10,10,10,0.15,0.5,0,
68,22,17,6,2,20,0.4,50,1,
69,31,35,28,30,31,0.1,0,0,
70,23,16,38,6,19,0.6,80,0,
71,50,40,50,40,45,0.1,5,0,
72,40,25,40,20,35,0.2,500,0,
73,25,20,20,15,22,0.1,50,1,
74,12,16,18,25,15,0.3,,1,
75,60,0,22,14,10,0,1000,0,
76,19,15,16,12,17,0.2,150,1,
77,13,0,14,6,13,0.3,20,0,
78,58,55,30,28,56,0.4,500,0,
79,55,36,,,42,0.1,5,1,
80,27,25,35,20,25,0.1,0,0,
81,38,30,40,30,35,0,300,0,
82,73,55,112,26,65,0.1,500,0,
83,18,15,13,10,16,0.2,,0,
84,5,2,50,30,3,0.5,0,1,
85,18,16,20,13,17,0.3,,0,